FEATURE_ID,FEATURE_NA,LATITUDE,LONGITUDE,OID_,FEATURE__1,FEATURE__2,FEATURE_CL,STATE_ALPH,STATE_NUME,COUNTY_NAM,COUNTY_NUM,PRIMARY_LA,PRIMARY_LO,PRIMARY__1,PRIMARY__2,SOURCE_LAT,SOURCE_LON,SOURCE_L_1,SOURCE_L_2,ELEVATION,MAP_NAME
      909389.000000,Oso Creek,          33.546468,        -105.583038,34863,909389,Oso Creek,Stream,NM,35,Lincoln,27,333247N,1053459W,                 34,               -106,333213N,1053944W,33.53702,-105.662,1944,Capitan
      909455.000000,Palociento Creek,          36.261140,        -105.446122,34864,909455,Palociento Creek,Stream,NM,35,Taos,55,361540N,1052646W,                 36,               -105,361405N,1052511W,36.23475,-105.42,2753,Shady Bro
      909464.000000,Panchuela Creek,          35.821419,        -105.655850,34865,909464,Panchuela Creek,Stream,NM,35,Mora,33,354917N,1053921W,                 36,               -106,355433N,1054036W,35.9092,-105.677,2508,Cowles
      909473.000000,Panther Creek,          33.342025,        -105.747764,34866,909473,Panther Creek,Stream,NM,35,Otero,35,332031N,1054452W,                 33,               -106,332210N,1054447W,33.36944,-105.746,2280,Ruidoso
      909499.000000,Patos Creek,          33.752582,        -105.386652,34867,909499,Patos Creek,Stream,NM,35,Lincoln,27,334509N,1052312W,                 34,               -105,334352N,1053909W,33.73119,-105.652,1744,Box Lake
      909512.000000,Patton Creek,          32.783688,        -107.695587,34868,909512,Patton Creek,Stream,NM,35,Sierra,51,324701N,1074144W,                 33,               -108,324911N,1074333W,32.81972,-107.726,1839,P A Mount
      909566.000000,Percha Creek,          32.902295,        -107.300302,34869,909566,Percha Creek,Stream,NM,35,Sierra,51,325408N,1071801W,                 33,               -107,325512N,1073943W,32.92007,-107.662,1276,Caballo
      909645.000000,Pinabetes Creek,          36.081145,        -103.234388,34871,909645,Pinabetes Creek,Stream,NM,35,Union,59,360452N,1031404W,                 36,               -103,361929N,1033329W,36.32475,-103.558,1381,Stead
      909661.000000,Pine Cienega Creek,          33.144788,        -108.953952,34872,909661,Pine Cienega Creek,Stream,NM,35,Grant,17,330841N,1085714W,                 33,               -109,325903N,1085837W,32.98423,-108.977,1565,Wilson Mo
      909662.000000,Pine Creek,          33.108956,        -108.792559,34873,909662,Pine Creek,Stream,NM,35,Grant,17,330632N,1084733W,                 33,               -109,331421N,1084306W,33.23923,-108.718,1556,Bear Moun
      909716.000000,Pi?n Creek,          32.382608,        -105.149413,34874,909716,Pi?n Creek,Stream,NM,35,Otero,35,322257N,1050858W,                 32,               -105,323930N,1053600W,32.65843,-105.6,1245,Tanner Ra
      909722.000000,Pi?n Wash,          32.214831,        -105.113573,34875,909722,Pi?n Wash,Stream,NM,35,Otero,35,321253N,1050649W,                 32,               -105,322257N,1050857W,32.38261,-105.149,1136,Sheep Dra
      909727.000000,Pinos Altos Creek,          32.775075,        -108.275048,34876,909727,Pinos Altos Creek,Stream,NM,35,Grant,17,324630N,1081630W,                 33,               -108,325112N,1081434W,32.85341,-108.243,1792,Silver Ci
      909732.000000,Pioneer Creek,          36.709196,        -105.410005,34877,909732,Pioneer Creek,Stream,NM,35,Taos,55,364233N,1052436W,                 37,               -105,363909N,1052706W,36.6525,-105.452,2634,Red River
      909746.000000,Placer Creek,          36.695307,        -105.392783,34878,909746,Placer Creek,Stream,NM,35,Taos,55,364143N,1052334W,                 37,               -105,364023N,1052543W,36.67306,-105.429,2657,Red River
      909747.000000,Placer Creek,          36.677793,        -106.249748,34879,909747,Placer Creek,Stream,NM,35,Rio Arrib,39,364040N,1061459W,                 37,               -106,364416N,1061623W,36.73779,-106.273,2790,Burned Mo
      909748.000000,Placer Fork,          36.651694,        -105.515840,34880,909748,Placer Fork,Stream,NM,35,Taos,55,363906N,1053057W,                 37,               -106,363816N,1052727W,36.63781,-105.458,2590,Questa
      909773.000000,Poleo Creek,          36.162239,        -106.645592,34881,909773,Poleo Creek,Stream,NM,35,Rio Arrib,39,360944N,1063844W,                 36,               -107,360726N,1064544W,36.12391,-106.762,2049,Arroyo De
      909780.000000,Pollock Creek,          32.708413,        -107.662530,34882,909780,Pollock Creek,Stream,NM,35,Sierra,51,324230N,1073945W,                 33,               -108,324340N,1074222W,32.72778,-107.706,1731,Whiterock
      909782.000000,Polvadera Creek,          36.189185,        -106.436977,34883,909782,Polvadera Creek,Stream,NM,35,Rio Arrib,39,361121N,1062613W,                 36,               -106,360101N,1062503W,36.01697,-106.418,1994,Canones
      909801.000000,Poso Creek,          36.847791,        -106.459199,34884,909801,Poso Creek,Stream,NM,35,Rio Arrib,39,365052N,1062733W,                 37,               -106,365303N,1062750W,36.88418,-106.464,2935,Brazos Pe
      909824.000000,Poverty Creek,          33.347292,        -107.645870,34885,909824,Poverty Creek,Stream,NM,35,Sierra,51,332050N,1073845W,                 33,               -108,332623N,1074952W,33.43979,-107.831,1878,Winston
      909862.000000,Prior Creek,          33.324788,        -108.361442,34886,909862,Prior Creek,Stream,NM,35,Catron,3,331929N,1082141W,                 33,               -108,331745N,1082440W,33.2959,-108.411,2049,Woodland
      909863.000000,Probar Creek,          36.528920,        -105.296119,34887,909863,Probar Creek,Stream,NM,35,Colfax,7,363144N,1051746W,                 37,               -105,363147N,1052039W,36.52972,-105.344,2548,Eagle Nes
      909876.000000,Pueblo Creek,          33.448393,        -108.929788,34888,909876,Pueblo Creek,Stream,NM,35,Catron,3,332654N,1085547W,                 33,               -109,334250N,1085732W,33.71394,-108.959,1520,Alma
      909888.000000,Puertecito Creek,          35.990859,        -105.771407,34889,909888,Puertecito Creek,Stream,NM,35,Santa Fe,49,355927N,1054617W,                 36,               -106,355847N,1054534W,35.97972,-105.759,2621,Sierra Mo
