X,Y,ObjectId,Locationid,Permitid,Site_Name,Address1,City,Zip,County,Primarywaste_Type,Primaryoperation_Type,Permitstatus,Permitexpdate,Latitude,Longitude,Status
-8811825.0239,4198082.0145,47,P0429,4304-TIRELF-1992,Central Carolina Tire Monofill  ,1086 Poplar Drive,Spring Lake,28390,Harnett,Tire,LF,Active,5/5/2024,35.251282,-79.157971,Open
-8773312.4876,4308035.0957,48,P0430,32F-LCID-,Fogleman and Fogleman Landfill & Recycling Facility,4005 Intermere Road,Durham,27704,Durham,LCID,LF,Active,12/16/2021,36.053861,-78.812007,Open
-8554483.7496,4147386.2198,49,P0432,25G-DEMO-,Cieszko Construction Co.,Hwy 101 E.,Havelock,28532,Craven,CD,LF,InactiveClosed,-,34.878531,-76.846235,Closed
-8787363.679,4341441.553,50,P0433,73C-DEMO-,Thomas Lindsey Demo Landfill,Ed Brooks Rd.,Timberlake,27583,Person,CD,LF,InactiveClosed,-,36.296103,-78.938231,Closed
-9209138.7581,4274613.5227,51,P0436,5803-MSWLF-1993,Madison County Landfill,271 Craig Rudisil Road,Marshall,28753,Madison,MSW,LF,Post-Closure,-,35.810761,-82.727101,Closed
-8879955.7806,4266550.393,52,P0437,76B-LCID-1992,Randolph County Demo Landfill,1254 County Land Road,Randelman,27317,Randolph,LCID,LF,InactiveClosed,-,35.752,-79.77,Closed
-8671942.065,4044918.9681,53,P0438,65D-DEMO-,Freeman Site,Carolina Beach Road,Carolina Beach,28428,New Hanover,CD,LF,InactiveClosed,-,34.119944,-77.901381,Closed
-9222225.4775,4180010.2494,54,P0440,8807-MSWLF-1990,Transylvania County Landfill,500 Howell Road,Brevard,28712,Transylvania,MSW,LF,Active,6/13/2050,35.118601,-82.844661,Open
-8710258.3451,4061110.3605,55,P0442,24A-LCID-,Nance Site,Nance Road (S.R. 1503),Chadburn,28442,Columbus,LCID,LF,InactiveClosed,-,34.240271,-78.245582,Closed
-8886735.6942,4323798.87,56,P0444,41C-LCID-,R.K. Simmons Demo Landfill,1918 Trosper Road,Greensboro,27455,Guilford,LCID,LF,InactiveClosed,-,36.168263,-79.830905,Closed
-8896352.1397,4323985.3034,57,P0446,41D-DEMO-,Hazel Sizemore Demo Landfill,5879 Stanley Huff Road,Summer Field,27358,Guilford,CD,LF,InactiveClosed,-,36.169615,-79.917291,Closed
-8890485.2686,4299908.2227,58,P0447,41F-DEMO-,Joyce Demo Landfill,Commercial Road,Greensboro,27407,Guilford,CD,LF,InactiveClosed,-,35.994817,-79.864588,Closed
-8867065.2062,4300195.6508,59,P0448,41E-DEMO-,Ed Montgomery Demo Landfill,Wades Store Road,Greensboro,27406,Guilford,CD,LF,InactiveClosed,-,35.996906,-79.654202,Closed
-8888374.985,4300410.2981,60,P0449,41G-DEMO-,Strickland Groome Demo Landfil,Montview Street,Greensboro,27406,Guilford,CD,LF,InactiveClosed,-,35.998466,-79.845631,Closed
-8888482.4083,4300481.4353,61,P0450,41H-DEMO-,Groome Demo Landfill,Montview Street,Greensboro,27406,Guilford,CD,LF,InactiveClosed,-,35.998983,-79.846596,Closed
-8893537.8717,4332262.9026,62,P0451,41J-LCID-2010,"Heritage Farm Properties, LLC LCID Landfill",2124 Scalesville Road,Summerfield,27358,Guilford,LCID,LF,Active,10/8/2020,36.22962,-79.89201,Open
